developer_id,country,betweenness,in_degree,out_degree
dhruvang21,Unknown,0.0,3,0
xateman,Unknown,0.0,0,1
q0rban,Unknown,0.0,0,1
devhaozi,China,0.00046136811023622047,1,1
github-advanced-security[bot],Unknown,0.0,0,1
bramus,Belgium,0.0,0,1
colinleroy,Unknown,0.0,1,0
nathkrill,Unknown,0.0,2,0
johnbillion,United Kingdom,0.04470041830708659,13,4
adamsilverstein,USA,0.015191313976377954,5,1
viralsampat-multidots,India,0.0,1,0
sabernhardt,Unknown,0.006890349643794526,4,4
jonnynews,United Kingdom,0.0,0,4
prasadkarmalkar,India,0.0,1,0
Infinite-Null,India,0.0,4,0
westonruter,USA,0.0,0,4
dream-encode,United States,0.002376558398950131,2,1
costdev,Ireland,0.02958673134608174,8,5
kaitohm,Japan,0.0,0,1
kkmuffme,Unknown,0.0,2,0
adamziel,Poland,0.0,0,1
nirajgiriXD,Nepal,0.0,3,0
SainathPoojary,India,0.0,3,0
shail-mehta,India,0.0,1,0
Mai-Saad,Unknown,0.0,0,1
Sukhendu2002,India,0.0,9,0
worais,Brazil,0.0,2,0
jrfnl,The Netherlands,0.0,0,3
Debarghya-Banerjee,Unknown,0.002952755905511811,5,1
aaronrobertshaw,Australia,0.00155634842519685,1,1
SantosGuillamot,Spain,0.0,0,2
arzola,Canada,0.0,4,0
ramonjd,Unknown,0.004595226377952756,1,2
Mamaduka,Georgia,0.0,0,2
DAreRodz,Spain,0.0,6,0
gadelhas,Unknown,0.0,2,0
karmatosed,United Kingdom,0.0,1,1
jorgefilipecosta,Unknown,0.0,0,1
pbiron,United States,0.0,0,1
oandregal,Spain,6.151574803149606e-05,1,1
szepeviktor,Hungary,0.0,0,1
gigitux,Italy,0.0,1,0
rinkalpagdar,Unknown,0.0,1,0
carolinan,Sweden,0.0027066929133858267,3,2
pbearne,Canada,0.0,9,0
noamr,Israel,0.0,0,1
sirreal,Spain,0.022258448162729656,8,4
ellatrix,Unknown,0.0,3,0
andreilupu,Romania,0.0,1,0
ntsekouras,Greece,0.0,0,2
AakifKadiwala,Unknown,0.0,1,0
Aljullu,Spain,0.0,5,0
joedolson,United States,0.0005536417322834646,1,5
Ravvsky,Poland,0.0,0,1
iflair,India,0.0,1,0
wprashed,Bangladesh,0.0,[],[]
azaozz,Unknown,0.0,0,1
mi5t4n,Nepal,0.0,1,0
TimothyBJacobs,United States,0.0052903543307086616,3,3
ockham,Germany,0.0007023047900262466,5,1
dd32,Australia,0.0,0,1
swissspidy,Switzerland,0.03385812125046869,4,15
nhrrob,Bangladesh,0.0,0,1
tellthemachines,Australia,0.0,1,0
d-alleyne,Barbados,0.0,2,0
sgomes,Portugal,0.0,0,1
ihosav,Unknown,0.0,2,0
deepakrohillas,India,0.0,3,0
rishishah-multidots,Unknown,0.0,1,0
aslamdoctor,India,0.0,1,0
dlh01,Unknown,0.0,2,1
rmccue,United Kingdom,0.0,0,1
peterwilsoncc,Australia,0.026294906496062982,2,12
CypherReymax96,Unknown,0.0,0,1
maltfield,Unknown,0.0,1,0
yogeshbhutkar,India,0.0,3,0
audrasjb,France,0.045008436445444305,6,15
ironprogrammer,United States,0.0,0,1
PARTHVATALIYA,Unknown,0.0,1,0
youknowriad,Spain,0.0027682086614173227,2,1
siliconforks,Unknown,0.0,0,1
zetrider,Unknown,0.0,3,0
aaronjorbin,Unknown,0.0,0,3
sybrew,Netherlands,0.0,0,1
rafiahmedd,Bangladesh,0.0,0,1
ptesei,France,0.0,1,0
JasonSa19,Unknown,0.0,1,0
benazeer-ben,India,0.0,1,0
aristath,Greece,0.0,0,4
desrosj,United States,0.04400558328646419,6,9
himanshupathak95,India,0.0,3,0
SergeyBiryukov,Russia,0.00406003937007874,2,2
moorscode,Netherlands,0.0,1,0
Rajinsharwar,Canada,0.0,0,1
michalczaplinski,Portugal,0.0,0,1
luisherranz,Unknown,0.0,0,1
kadamwhite,United States,0.0,0,2
akasunil,India,0.0,0,1
afercia,Italy,0.0,0,1
masteradhoc,Liechtenstein,0.0,0,1
spacedmonkey,United Kingdom,0.010731422244094487,7,4
joemcgill,United States,0.019212393372703408,5,5
andrewserong,Australia,0.0,2,0
felixarntz,United States,0.04111170673978253,7,9
narenin,India,0.0,3,0
anton-vlasenko,Unknown,0.00619976213910761,8,3
Slavco,Unknown,0.0,0,1
vasilpichurov,Unknown,0.0,1,0
Clorith,Norway,0.0,0,1
antpb,United States,0.0,0,1
hellofromtonya,United States,0.00016404199475065617,1,2
mcsf,Portugal,0.0,0,1
timse201,Germany,0.0,1,0
parinpanjari,Unknown,0.0,1,0
gziolo,Poland,0.0,0,5
vedanshujain,India,0.0,2,0
maciejmackowiak,Unknown,0.0,0,1
martinkrcho,Slovakia,0.0,0,4
dmsnell,Unknown,0.0022453248031496058,2,2
mukeshpanchal27,India,0.07236273200224971,7,30
soatok,USA,0.0,0,1
cbravobernal,Spain,0.0,0,3
im3dabasia,India,0.0,4,0
Soean,Germany,0.0,1,0
jamieblomerus,Sweden,0.0,0,1
apermo,Germany,0.013707466254218231,2,15
Kevinlearynet,United States,0.0,1,0
hbhalodia,India,0.0,2,0
calvinalkan,Unknown,0.0,0,1
ryelle,Unknown,0.0,1,0
