source,target,source_country,target_country,weight
audrasjb,karmatosed,France,United Kingdom,1
audrasjb,Sukhendu2002,France,India,1
audrasjb,im3dabasia,France,India,1
audrasjb,apermo,France,Germany,1
audrasjb,sabernhardt,France,Unknown,1
audrasjb,hbhalodia,France,India,1
audrasjb,nirajgiriXD,France,Nepal,1
audrasjb,carolinan,France,Sweden,1
audrasjb,pbearne,France,Canada,1
audrasjb,rinkalpagdar,France,Unknown,1
audrasjb,johnbillion,France,United Kingdom,1
audrasjb,d-alleyne,France,Barbados,1
audrasjb,ryelle,France,Unknown,1
audrasjb,timse201,France,Germany,1
audrasjb,devhaozi,France,China,1
karmatosed,audrasjb,United Kingdom,France,1
Sukhendu2002,Sukhendu2002,India,India,1
im3dabasia,im3dabasia,India,India,1
apermo,kkmuffme,Germany,Unknown,1
apermo,apermo,Germany,Germany,1
apermo,dream-encode,Germany,United States,1
apermo,pbearne,Germany,Canada,1
apermo,adamsilverstein,Germany,USA,1
apermo,Debarghya-Banerjee,Germany,Unknown,1
apermo,JasonSa19,Germany,Unknown,1
apermo,yogeshbhutkar,Germany,India,1
apermo,im3dabasia,Germany,India,1
apermo,himanshupathak95,Germany,India,1
apermo,Aljullu,Germany,Spain,1
apermo,anton-vlasenko,Germany,Unknown,1
apermo,Sukhendu2002,Germany,India,1
apermo,carolinan,Germany,Sweden,1
apermo,dhruvang21,Germany,Unknown,1
apermo,dmsnell,Germany,Unknown,1
mukeshpanchal27,audrasjb,India,France,1
mukeshpanchal27,narenin,India,India,1
mukeshpanchal27,gadelhas,India,Unknown,1
mukeshpanchal27,Infinite-Null,India,India,1
mukeshpanchal27,SainathPoojary,India,India,1
mukeshpanchal27,sabernhardt,India,Unknown,1
mukeshpanchal27,arzola,India,Canada,1
mukeshpanchal27,iflair,India,India,1
mukeshpanchal27,andreilupu,India,Romania,1
mukeshpanchal27,Sukhendu2002,India,India,1
mukeshpanchal27,johnbillion,India,United Kingdom,1
mukeshpanchal27,himanshupathak95,India,India,1
mukeshpanchal27,dlh01,India,Unknown,1
mukeshpanchal27,mukeshpanchal27,India,India,1
mukeshpanchal27,anton-vlasenko,India,Unknown,1
mukeshpanchal27,desrosj,India,United States,1
mukeshpanchal27,felixarntz,India,United States,1
mukeshpanchal27,zetrider,India,Unknown,1
mukeshpanchal27,pbearne,India,Canada,1
mukeshpanchal27,AakifKadiwala,India,Unknown,1
mukeshpanchal27,im3dabasia,India,India,1
mukeshpanchal27,shail-mehta,India,India,1
mukeshpanchal27,ockham,India,Germany,1
mukeshpanchal27,kkmuffme,India,Unknown,1
mukeshpanchal27,benazeer-ben,India,India,1
mukeshpanchal27,deepakrohillas,India,India,1
mukeshpanchal27,aaronrobertshaw,India,Australia,1
mukeshpanchal27,carolinan,India,Sweden,1
mukeshpanchal27,parinpanjari,India,Unknown,1
mukeshpanchal27,youknowriad,India,Spain,1
